Date : 2023-12-29 22:52:33
Directory : e:\work\github\EasyEngine
Total : 2325 files,  417012 codes, 103778 comments, 60550 blanks, all 581340 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint2x3_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint2x4_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint3x2_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint3x3_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint3x4_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint4x2_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint4x3_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_matrix_uint4x4_sized.cpp                                         | C++              |         21 |          0 |          8 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_common.cpp                                            | C++              |         47 |          0 |         15 |         62 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_exponential.cpp                                       | C++              |         67 |          0 |         21 |         88 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_geometric.cpp                                         | C++              |         70 |          0 |         19 |         89 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_relational.cpp                                        | C++              |         41 |          0 |         11 |         52 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_transform.cpp                                         | C++              |         32 |          2 |         12 |         46 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_trigonometric.cpp                                     | C++              |         26 |          0 |          9 |         35 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_quaternion_type.cpp                                              | C++              |         85 |          4 |         25 |        114 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_common.cpp                                                | C++              |        252 |          0 |         76 |        328 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_constants.cpp                                             | C++              |         27 |          0 |         10 |         37 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_int_sized.cpp                                             | C++              |         33 |          0 |         11 |         44 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_integer.cpp                                               | C++              |        542 |          0 |        145 |        687 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_packing.cpp                                               | C++              |         19 |          0 |         10 |         29 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_relational.cpp                                            | C++              |         75 |          0 |         32 |        107 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_uint_sized.cpp                                            | C++              |         33 |          0 |         11 |         44 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_scalar_ulp.cpp                                                   | C++              |         73 |          0 |         24 |         97 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vec1.cpp                                                         | C++              |        119 |          2 |         37 |        158 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_bool1.cpp                                                 | C++              |         80 |          0 |         25 |        105 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_common.cpp                                                | C++              |        257 |          0 |         76 |        333 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_iec559.cpp                                                | C++              |        126 |          0 |         41 |        167 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_int1_sized.cpp                                            | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_int2_sized.cpp                                            | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_int3_sized.cpp                                            | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_int4_sized.cpp                                            | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_integer.cpp                                               | C++              |        441 |          0 |        107 |        548 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_integer_sized.cpp                                         | C++              |        169 |          0 |         48 |        217 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_packing.cpp                                               | C++              |         47 |          0 |         12 |         59 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_relational.cpp                                            | C++              |        167 |          0 |         39 |        206 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_uint1_sized.cpp                                           | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_uint2_sized.cpp                                           | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_uint3_sized.cpp                                           | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_uint4_sized.cpp                                           | C++              |         31 |          0 |         11 |         42 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\ext\ext_vector_ulp.cpp                                                   | C++              |         76 |          0 |         24 |        100 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_bitfield.cpp                                                     | C++              |        640 |        110 |        187 |        937 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_color_space.cpp                                                  | C++              |         62 |          0 |         17 |         79 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_constants.cpp                                                    | C++              |         20 |          3 |          8 |         31 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_epsilon.cpp                                                      | C++              |         61 |          0 |         18 |         79 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_integer.cpp                                                      | C++              |        177 |          0 |         57 |        234 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_matrix_access.cpp                                                | C++              |        281 |          0 |        103 |        384 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_matrix_integer.cpp                                               | C++              |          6 |          0 |          3 |          9 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_matrix_inverse.cpp                                               | C++              |         42 |          0 |         10 |         52 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_matrix_transform.cpp                                             | C++              |         39 |          0 |         17 |         56 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_noise.cpp                                                        | C++              |         63 |          0 |         24 |         87 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_packing.cpp                                                      | C++              |        688 |          3 |        188 |        879 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_quaternion.cpp                                                   | C++              |        227 |         48 |         71 |        346 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_random.cpp                                                       | C++              |        282 |         46 |         54 |        382 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_reciprocal.cpp                                                   | C++              |          6 |          0 |          3 |          9 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_round.cpp                                                        | C++              |        368 |          0 |         91 |        459 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_type_aligned.cpp                                                 | C++              |        141 |          1 |         40 |        182 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_type_precision.cpp                                               | C++              |        862 |          0 |        180 |      1,042 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_type_ptr.cpp                                                     | C++              |        283 |          0 |         53 |        336 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_ulp.cpp                                                          | C++              |         74 |          0 |         26 |        100 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_user_defined_types.cpp                                           | C++              |         14 |          9 |          8 |         31 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtc\gtc_vec1.cpp                                                         | C++              |          6 |          0 |          3 |          9 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx.cpp                                                              | C++              |          6 |          0 |          3 |          9 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_associated_min_max.cpp                                           | C++              |          8 |          0 |          3 |         11 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_closest_point.cpp                                                | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_color_encoding.cpp                                               | C++              |         35 |          7 |         10 |         52 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_color_space.cpp                                                  | C++              |         14 |          0 |          7 |         21 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_color_space_YCoCg.cpp                                            | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_common.cpp                                                       | C++              |        116 |          4 |         42 |        162 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_compatibility.cpp                                                | C++              |         15 |          0 |          5 |         20 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_component_wise.cpp                                               | C++              |         93 |          0 |         24 |        117 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_dual_quaternion.cpp                                              | C++              |        154 |          7 |         45 |        206 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_easing.cpp                                                       | C++              |         48 |          0 |         18 |         66 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_euler_angle.cpp                                                  | C++              |        448 |          1 |         91 |        540 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_extend.cpp                                                       | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_extended_min_max.cpp                                             | C++              |         78 |          1 |         23 |        102 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_extented_min_max.cpp                                             | C++              |          6 |         30 |          4 |         40 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_exterior_product.cpp                                             | C++              |         10 |          0 |          5 |         15 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_fast_exponential.cpp                                             | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_fast_square_root.cpp                                             | C++              |         35 |          0 |         11 |         46 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_fast_trigonometry.cpp                                            | C++              |        419 |         22 |        124 |        565 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_functions.cpp                                                    | C++              |         26 |          0 |         11 |         37 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_gradient_paint.cpp                                               | C++              |         23 |          0 |         12 |         35 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_handed_coordinate_space.cpp                                      | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_int_10_10_10_2.cpp                                               | C++              |          7 |          8 |          4 |         19 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_integer.cpp                                                      | C++              |         63 |         20 |         26 |        109 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_intersect.cpp                                                    | C++              |         69 |          2 |         18 |         89 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_io.cpp                                                           | C++              |        153 |          0 |         34 |        187 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_load.cpp                                                         | C++              |          7 |        117 |          1 |        125 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_log_base.cpp                                                     | C++              |         44 |          0 |         11 |         55 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_cross_product.cpp                                         | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_decompose.cpp                                             | C++              |         14 |          0 |          6 |         20 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_factorisation.cpp                                         | C++              |         64 |         12 |         30 |        106 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_interpolation.cpp                                         | C++              |         44 |          0 |         16 |         60 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_major_storage.cpp                                         | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_operation.cpp                                             | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_query.cpp                                                 | C++              |         49 |          0 |         18 |         67 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_matrix_transform_2d.cpp                                          | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_mixed_product.cpp                                                | C++              |          7 |          8 |          4 |         19 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_norm.cpp                                                         | C++              |         65 |          0 |         17 |         82 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_normal.cpp                                                       | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_normalize_dot.cpp                                                | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_number_precision.cpp                                             | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_optimum_pow.cpp                                                  | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_orthonormalize.cpp                                               | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_perpendicular.cpp                                                | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_polar_coordinates.cpp                                            | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_projection.cpp                                                   | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_quaternion.cpp                                                   | C++              |         82 |          0 |         26 |        108 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_random.cpp                                                       | C++              |         75 |          8 |         17 |        100 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_range.cpp                                                        | C++              |         66 |          0 |         18 |         84 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_rotate_normalized_axis.cpp                                       | C++              |          7 |          0 |          3 |         10 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_rotate_vector.cpp                                                | C++              |         56 |          0 |         22 |         78 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_scalar_multiplication.cpp                                        | C++              |         28 |          0 |         10 |         38 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_scalar_relational.cpp                                            | C++              |        144 |          0 |         31 |        175 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_simd_mat4.cpp                                                    | C++              |        225 |         37 |         63 |        325 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_simd_vec4.cpp                                                    | C++              |         25 |         35 |         12 |         72 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_spline.cpp                                                       | C++              |         82 |          0 |         19 |        101 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_string_cast.cpp                                                  | C++              |        117 |          0 |         39 |        156 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_texture.cpp                                                      | C++              |         16 |          0 |          7 |         23 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_type_aligned.cpp                                                 | C++              |         87 |          0 |         28 |        115 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_type_trait.cpp                                                   | C++              |          8 |          0 |          6 |         14 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_vec_swizzle.cpp                                                  | C++              |          7 |          0 |          5 |         12 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_vector_angle.cpp                                                 | C++              |         45 |          0 |         15 |         60 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_vector_query.cpp                                                 | C++              |         60 |          0 |         23 |         83 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\gtx\gtx_wrap.cpp                                                         | C++              |        135 |          0 |         57 |        192 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\perf\perf_matrix_div.cpp                                                 | C++              |        114 |          0 |         40 |        154 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\perf\perf_matrix_inverse.cpp                                             | C++              |        111 |          0 |         40 |        151 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\perf\perf_matrix_mul.cpp                                                 | C++              |        115 |          0 |         40 |        155 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\perf\perf_matrix_mul_vector.cpp                                          | C++              |        115 |          0 |         40 |        155 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\perf\perf_matrix_transpose.cpp                                           | C++              |        111 |          0 |         40 |        151 |
| e:\work\github\EasyEngine\engine\third-party\glm\test\perf\perf_vector_mul_matrix.cpp                                          | C++              |        115 |          0 |         40 |        155 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.clang-format                                                             | YAML             |          3 |          0 |          2 |          5 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.github\ISSUE_TEMPLATE\bug_report.md                                      | Markdown         |         20 |          0 |          7 |         27 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.github\ISSUE_TEMPLATE\feature_request.md                                 | Markdown         |         15 |          0 |          6 |         21 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis.yml                                                               | YAML             |         64 |          7 |          1 |         72 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\cmake_builder.sh                                          | Shell Script     |         87 |         26 |         18 |        131 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\meson_builder.sh                                          | Shell Script     |         55 |         13 |         16 |         84 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\run-clang-format.py                                       | Python           |        267 |         42 |         48 |        357 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\run-clang-format.sh                                       | Shell Script     |          2 |          1 |          2 |          5 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\travis.before_install.linux.sh                            | Shell Script     |          2 |          4 |          3 |          9 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\travis.before_install.osx.sh                              | Shell Script     |          0 |          0 |          1 |          1 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\travis.install.linux.sh                                   | Shell Script     |          4 |          0 |          2 |          6 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\.travis_scripts\travis.install.osx.sh                                     | Shell Script     |          0 |          1 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\CONTRIBUTING.md                                                           | Markdown         |        111 |          0 |         42 |        153 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\CTestConfig.cmake                                                         | CMake            |         13 |          0 |          3 |         16 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\README.md                                                                 | Markdown         |         45 |          0 |         23 |         68 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\amalgamate.py                                                             | Python           |        126 |         19 |         17 |        162 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\appveyor.yml                                                              | YAML             |         27 |          6 |          5 |         38 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\cmake\JoinPaths.cmake                                                     | CMake            |         23 |          0 |          1 |         24 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\__init__.py                                                      | Python           |          0 |          5 |          2 |          7 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\agent_vmw7.json                                                  | JSON             |         33 |          0 |          1 |         34 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\agent_vmxp.json                                                  | JSON             |         26 |          0 |          1 |         27 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\antglob.py                                                       | Python           |        154 |         33 |         19 |        206 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\batchbuild.py                                                    | Python           |        237 |         20 |         22 |        279 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\fixeol.py                                                        | Python           |         27 |         41 |          3 |         71 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\licenseupdater.py                                                | Python           |         51 |         36 |          8 |         95 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\devtools\tarball.py                                                       | Python           |         33 |         15 |          5 |         53 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\doc\footer.html                                                           | HTML             |         15 |          6 |          1 |         22 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\doc\header.html                                                           | HTML             |         52 |         10 |          3 |         65 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\doxybuild.py                                                              | Python           |        154 |         22 |         14 |        190 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\README.md                                                         | Markdown         |         11 |          0 |          3 |         14 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\readFromStream\errorFormat.json                                   | JSON             |          3 |          0 |          0 |          3 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\readFromStream\readFromStream.cpp                                 | C++              |         17 |         12 |          2 |         31 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\readFromStream\withComment.json                                   | JSON             |          3 |          3 |          1 |          7 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\readFromString\readFromString.cpp                                 | C++              |         27 |          9 |          3 |         39 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\streamWrite\streamWrite.cpp                                       | C++              |         12 |          9 |          3 |         24 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\example\stringWrite\stringWrite.cpp                                       | C++              |         20 |         12 |          2 |         34 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\get_version.pl                                                            | Perl             |          5 |          0 |          1 |          6 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\PreventInBuildInstalls.cmake                                      | CMake            |          9 |          0 |          1 |         10 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\PreventInSourceBuilds.cmake                                       | CMake            |         43 |          0 |          3 |         46 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\allocator.h                                                  | C++              |         47 |         25 |         18 |         90 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\assertions.h                                                 | C++              |         38 |         11 |         13 |         62 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\config.h                                                     | C++              |        106 |         23 |         22 |        151 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\forwards.h                                                   | C++              |         26 |          8 |         10 |         44 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\json.h                                                       | C++              |          8 |          4 |          4 |         16 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\json_features.h                                              | C++              |         21 |         27 |         15 |         63 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\reader.h                                                     | C++              |        150 |        216 |         41 |        407 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\value.h                                                      | C++              |        482 |        327 |        128 |        937 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\version.h                                                    | C++              |         15 |          9 |          5 |         29 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\include\json\writer.h                                                     | C++              |        159 |        172 |         40 |        371 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\jsoncpp-namespaced-targets.cmake                                          | CMake            |          7 |          0 |          0 |          7 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\reformat.sh                                                               | Shell Script     |          1 |          0 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\jsontestrunner\main.cpp                                               | C++              |        298 |         15 |         31 |        344 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\lib_json\json_reader.cpp                                              | C++              |      1,740 |        106 |        159 |      2,005 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\lib_json\json_tool.h                                                  | C++              |         90 |         30 |         19 |        139 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\lib_json\json_value.cpp                                               | C++              |      1,373 |        102 |        160 |      1,635 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\lib_json\json_valueiterator.inl                                       | C++              |         91 |         36 |         30 |        157 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\lib_json\json_writer.cpp                                              | C++              |      1,078 |         64 |        118 |      1,260 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\test_lib_json\fuzz.cpp                                                | C++              |         40 |          5 |         10 |         55 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\test_lib_json\fuzz.h                                                  | C++              |          6 |          4 |          5 |         15 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\test_lib_json\jsontest.cpp                                            | C++              |        338 |         44 |         49 |        431 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\test_lib_json\jsontest.h                                              | C++              |        183 |         55 |         51 |        289 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\src\test_lib_json\main.cpp                                                | C++              |      3,340 |        139 |        493 |      3,972 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\cleantests.py                                                        | Python           |          7 |          5 |          5 |         17 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\fail_invalid_quote.json                                         | JSON             |          1 |          0 |          0 |          1 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\fail_test_array_01.json                                         | JSON             |          1 |          0 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\fail_test_array_02.json                                         | JSON             |          1 |          0 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\fail_test_object_01.json                                        | JSON             |          1 |          0 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\fail_test_stack_limit.json                                      | JSON             |          1 |          0 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\legacy_test_array_01.json                                       | JSON             |          1 |          0 |          1 |          2 |
| e:\work\github\EasyEngine\engine\third-party\jsoncpp\test\data\legacy_test_array_02.json                                       | JSON             |          1 |          0 |          1 |          2 |
